id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
27733,YLND,small_airport,Lakeland Airport,-15.83329964,144.8500061,930,OC,AU,AU-QLD,Lakeland Downs,0,YLND,LKD,,,,,50,2015-02-22T14:11:42+00:00
32727,YLAK,small_airport,Lakeside Airpark,-20.68169975,148.6280059814450,,OC,AU,AU-QLD,Lakeside,0,YLAK,,,,,,50,2008-07-14T08:45:12+00:00
27711,YLCI,closed,Lancelin Airport,-31.01666667,115.3333333,,OC,AU,AU-WA,Lancelin,0,YLCI,,,,,,50,2010-09-15T10:15:24+00:00
31820,YLIM,small_airport,Limbunya Airport,-17.23559952,129.8820038,,OC,AU,AU-NT,Limbunya,0,YLIM,LIB,,,,,50,2015-04-08T08:30:29+00:00
31800,YLIN,small_airport,Lindeman Island Airport,-20.45359993,149.0399933,,OC,AU,AU-QLD,Lindeman Island,0,YLIN,LDC,,,,,50,2009-10-24T10:15:40+00:00
31840,YLOK,small_airport,Lock Airport,-33.5442009,135.6929931640630,350,OC,AU,AU-SA,Lock,0,YLOK,LOC,,,,,50,2008-06-26T14:52:34+00:00
31859,YLOV,small_airport,Lotus Vale Airport,-17.04829979,141.3760071,,OC,AU,AU-QLD,Lotus Vale,0,YLOV,LTV,,,,,50,2009-10-24T10:17:16+00:00
32729,YLOH,small_airport,Louth Airport,-30.54170036,145.10000610351600,,OC,AU,AU-NSW,Louth,0,YLOH,,,,,,50,2008-06-26T14:52:34+00:00
31858,YLHS,small_airport,Lyndhurst Airport,-19.19580078,144.3710022,,OC,AU,AU-QLD,Lyndhurst,0,YLHS,LTP,,,,,50,2009-10-24T10:18:13+00:00
31942,YMDI,small_airport,Mandora Airport,-19.73830032,120.8379974,,OC,AU,AU-WA,Mandora,0,YMDI,MQA,,,,,50,2009-10-24T10:43:41+00:00
27826,YMWX,small_airport,Marion Downs Airport,-23.363702,139.649663,,OC,AU,AU-QLD,Marion Downs,0,YMWX,MXD,,,https://sv.wikipedia.org/wiki/Marion_Downs_Airport,,50,2019-04-27T13:10:26+00:00
31943,YMQA,small_airport,Marqua Airport,-22.80579948,137.25100708007800,,OC,AU,AU-NT,Marqua,0,YMQA,MQE,,,,,50,2008-06-26T14:52:34+00:00
27889,YPLE,closed,Plenty Airport,-37.72330093,145.1130066,,OC,AU,AU-VIC,Melbourne,0,YPLE,,,,,,50,2010-06-25T10:40:49+00:00
38467,YMEU,small_airport,Merluna Airport,-13.0649,142.4536,276,OC,AU,AU-QLD,Merluna,0,YMEU,MLV,,,,,50,2014-12-21T02:04:22+00:00
38215,AU-0016,small_airport,Middlebrook Station Scone Airstrip,-31.97116852,150.8114777,900,OC,AU,AU-NSW,Middlebrook Station,0,,,A18,,,,50,2011-07-18T14:07:37+00:00
27447,YCDL,small_airport,Cradle Mountain Airport,-41.58123136,145.9383488,,OC,AU,AU-TAS,Middlesex,0,YCDL,,,,,,50,2009-10-25T12:19:48+00:00
31980,AU-MWY,small_airport,Miranda Downs Airport,-17.328899,141.886002,,OC,AU,AU-QLD,Miranda Downs,0,YMIR,MWY,,,,,50,2016-05-27T19:20:13+00:00
31909,YMIP,small_airport,Mitchell Plateau Airport,-14.79139996,125.8239974975590,,OC,AU,AU-WA,Mitchell Plateau,0,YMIP,MIH,,,,,50,2008-06-26T14:52:34+00:00
27825,YMWT,small_airport,Moolawatana Airport,-29.9069,139.765,265,OC,AU,AU-SA,Moolawatana Station,0,YMWT,MWT,,,,,50,2015-04-04T14:03:20+00:00
31890,YMOT,small_airport,Moreton Airport,-12.44419956,142.6380005,,OC,AU,AU-QLD,Moreton,0,YMOT,MET,,,,,50,2009-10-24T10:19:51+00:00
27795,YMOM,small_airport,Moulamein Airport,-35.05838561,144.0213203,233,OC,AU,AU-NSW,Moulamein,0,YMOM,,,,,,50,2012-03-22T01:24:50+00:00
31551,YMGN,small_airport,Mount Gunson Airport,-31.4597,137.1744433,285,OC,AU,AU-SA,Mount Gunson,0,YMGN,GSN,,,,,50,2019-08-09T21:56:58+00:00
31970,YMUC,small_airport,Muccan Station Airport,-20.65889931,120.06700134277300,300,OC,AU,AU-WA,Muccan Station,0,YMUC,MUQ,,,,,50,2008-06-26T14:52:34+00:00
38383,YHEW,small_airport,Hedlow Airport,-23.22310066,150.6049957,,OC,AU,AU-QLD,Mulara,0,YHEW,,,,,,50,2011-12-12T10:53:39+00:00
31974,YMUK,small_airport,Mulka Airport,-28.3477993,138.64999389648400,,OC,AU,AU-SA,Mulka,0,YMUK,MVK,,,,,50,2008-06-26T14:52:34+00:00
32730,YMBX,small_airport,Mundrabilla Airport,-31.86720085,127.85399627685500,120,OC,AU,AU-WA,Mundrabilla,0,YMBX,,,,,,50,2008-06-26T14:52:34+00:00
31925,YMUG,small_airport,Mungeranie Airport,-28.00919914,138.65699768066400,,OC,AU,AU-SA,Mungeranie,0,YMUG,MNE,,,,,50,2008-06-26T14:52:34+00:00
27732,YLMU,small_airport,Mungo Lodge Airport,-33.74582445,143.0013084,,OC,AU,AU-NSW,Mungo,0,YLMU,,,,,,50,2011-05-30T07:20:12+00:00
27065,YMMI,small_airport,Murrin Murrin Airport,-28.705299,121.89099,1535,OC,AU,AU-WA,Murrin Murrin,0,YMMI,WUI,,,https://en.wikipedia.org/wiki/Murrin_Murrin_Airport,,50,2018-08-04T21:24:21+00:00
27771,YMGV,small_airport,Musgrave Airport,-14.7757,143.5047,302,OC,AU,AU-QLD,Musgrave,0,YMGV,MVU,,,,,50,2015-04-04T01:59:18+00:00
38522,YNUD,small_airport,Nammuldi Mine Airstrip,-22.39186,117.37623,267,OC,AU,AU-WA,Nammuldi Mine,0,YNUD,,,,http://en.wikipedia.org/wiki/Nammuldi_mine,,50,2011-12-29T12:08:58+00:00
27846,YNPB,small_airport,Napperby Airport,-22.5312,132.7632,2135,OC,AU,AU-NT,Napperby,0,YNPB,NPP,,,,,50,2015-12-19T20:54:42+00:00
27509,YDIX,small_airport,Dixie Airport,-15.11749443,143.3160496,580,OC,AU,AU-QLD,New Dixie,0,YDIX,DXD,,,,,50,2012-08-16T11:47:43+00:00
27598,YGLP,small_airport,Gallipolli Airport,-19.14181,137.87412,865,OC,AU,AU-NT,Nicholson,0,YGLP,,,,,,50,2011-05-19T10:18:53+00:00
38525,YNUT,small_airport,Nutwood Downs Airport,-15.8074,134.1459,500,OC,AU,AU-NT,Nutwood Downs,0,YNUT,UTD,,,,,50,2015-08-16T01:33:56+00:00
32087,YORV,small_airport,Ord River Airport,-17.34079933,128.91200256347700,390,OC,AU,AU-WA,Ord River,0,YORV,ODR,,,,,50,2008-06-26T14:52:34+00:00
27875,YPAK,closed,Pakenham Airport,-38.0992059,145.4878235,,OC,AU,AU-VIC,Pakenham,0,YPAK,,,,,,50,2010-07-14T11:22:11+00:00
32173,YPDO,small_airport,Pardoo Airport,-20.11750031,119.58999633789100,,OC,AU,AU-WA,Pardoo,0,YPDO,PRD,,,,,50,2008-06-26T14:52:34+00:00
30248,YPTJ,small_airport,Patjarr Airport,-24.6189003,126.3270035,1493,OC,AU,AU-WA,Patjarr,0,YPTJ,,,,,,50,2009-10-24T10:49:04+00:00
27893,YPNG,small_airport,Penong Airport,-31.91670036,133,78,OC,AU,AU-SA,Penong,0,YPNG,PEY,,,,,50,2016-01-02T22:04:29+00:00
32152,AU-PEP,small_airport,Peppimenarti Airport,-14.14420033,130.0910034,83,OC,AU,AU-NT,Peppimenarti,0,,PEP,YPEP,,,,50,2013-07-25T12:26:54+00:00
38208,AU-0009,small_airport,Pinjarra North Airstrip,-32.58039856,115.8850021,,OC,AU,AU-WA,Pinjarra,0,,,A10,,,,50,2011-07-18T13:49:11+00:00
27637,YING,small_airport,Ingelara Airport,-24.99702703,148.3332825,,OC,AU,AU-QLD,Rewan,0,YING,,,,,,50,2010-07-16T07:44:12+00:00
32201,AU-RDA,small_airport,Rockhampton Downs Airport,-18.95330048,135.2010040283200,,OC,AU,AU-NT,Rockhampton Downs,0,,RDA,,,,,50,2008-06-13T14:30:04+00:00
27928,YRRB,small_airport,Roper Bar Airport,-14.734814,134.525485,92,OC,AU,AU-NT,Roper Bar,0,YRRB,RPB,,,,,50,2013-09-06T19:45:59+00:00
32018,YSAN,small_airport,Sandstone Airport,-27.97999954,119.2969970703130,,OC,AU,AU-WA,Sandstone,0,YSAN,NDS,,,,,50,2008-07-14T08:45:12+00:00
32401,AU-SWB,small_airport,Shaw River Airport,-21.51029968,119.36199951171900,,OC,AU,AU-WA,Shaw River,0,,SWB,,,,,50,2008-06-13T14:30:04+00:00
38581,YSIA,small_airport,Siam Airport,-32.55749893,136.70899963378900,,OC,AU,AU-SA,Siam,0,YSIA,,,,,,50,2008-08-16T06:33:06+00:00
27521,YDOC,small_airport,Dochra Airfield,-32.650002,151.207993,185,OC,AU,AU-NSW,Singleton,0,YDOC,,,,http://en.wikipedia.org/wiki/Dochra_Airfield,military,50,2016-06-14T18:39:15+00:00
32752,AU-ZVG,small_airport,Springvale Airport,-17.78689957,127.66999816894500,,OC,AU,AU-WA,Springvale,0,,ZVG,,,,,50,2008-06-13T14:30:04+00:00
