id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
38651,YWMM,small_airport,Wollomombi Airport,-30.5333004,152.08299255371100,,OC,AU,AU-NSW,,0,YWMM,,,,,,50,2008-08-01T07:52:45+00:00
38654,YWOM,small_airport,Woolomin Airport,-31.31669998,151.13299560546900,,OC,AU,AU-NSW,,0,YWOM,,,,,,50,2008-08-01T07:52:52+00:00
38664,YWSD,small_airport,Westward Downs Airport,-30.72500038,141.39999389648400,,OC,AU,AU-NSW,,0,YWSD,,,,,,50,2008-08-01T07:53:15+00:00
38668,YYAA,small_airport,Yandama Airport,-29.68330002,141.4250030517580,,OC,AU,AU-NSW,,0,YYAA,,,,,,50,2008-08-01T07:53:39+00:00
38674,YYLD,small_airport,Yalda Downs Homestead Airport,-30.26140022,142.9770050048830,,OC,AU,AU-NSW,,0,YYLD,,,,,,50,2008-07-14T08:45:12+00:00
27049,YMDY,small_airport,Mount Bundey Airport,-12.89000034,131.9080047607420,150,OC,AU,AU-NT,,0,YMDY,,,,,,50,2008-06-13T14:30:04+00:00
27089,YNUM,small_airport,Numbulwar Airport,-14.27169991,135.7169952392580,31,OC,AU,AU-NT,,0,YNUM,NUB,,,,,50,2008-06-26T14:52:34+00:00
27092,YOEN,small_airport,Oenpelli Airport,-12.32499981,133.00599670410200,30,OC,AU,AU-NT,,0,YOEN,OPI,,,,,50,2008-06-26T14:52:34+00:00
27185,YYND,small_airport,Yuendumu Airport,-22.25419998,131.78199768066400,2205,OC,AU,AU-NT,,0,YYND,YUE,,,,,50,2008-06-26T14:52:34+00:00
27317,YADO,small_airport,Andado Airport,-25.4116993,135.2899932861330,,OC,AU,AU-NT,,0,YADO,,,,,,50,2008-06-26T14:52:34+00:00
27323,YALX,small_airport,Alexandria Homestead Airport,-19.06019974,136.7100067138670,,OC,AU,AU-NT,,0,YALX,AXL,,,,,50,2008-06-26T14:52:34+00:00
27331,YANL,small_airport,Anthony Lagoon Airport,-18.01807903,135.5350685,,OC,AU,AU-NT,,0,YANL,AYL,,,,,50,2011-09-24T01:15:49+00:00
27332,YANW,small_airport,Annitowa Airport,-21.20000076,136.447998,,OC,AU,AU-NT,,0,YANW,,,,,,50,2008-06-26T14:52:34+00:00
27336,YARD,small_airport,Argadargada Airport,-21.67670059,136.67799377441400,,OC,AU,AU-NT,,0,YARD,,,,,,50,2008-06-26T14:52:34+00:00
27340,YARN,small_airport,Areyonga Airport,-24.06669998,132.26699829101600,,OC,AU,AU-NT,,0,YARN,,,,,,50,2008-06-26T14:52:34+00:00
