_id,city1,city2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
534,coffs harbour,sydney,Jan-85,6640,181,71.1,443,2941520,4137159,9339,1985,1
535,darwin,sydney,Jan-85,1001,12,55.8,3155,3158155,5659776,1794,1985,1
536,devonport,melbourne,Jan-85,12907,320,86.8,412,5317684,6126364,14870,1985,1
537,dubbo,sydney,Jan-85,5104,162,61.1,310,1582240,2589591,8354,1985,1
538,gold coast,sydney,Jan-85,49419,517,82.8,680,33604920,40585652,59685,1985,1
539,hobart,melbourne,Jan-85,38398,442,78.6,618,23729964,30190794,48852,1985,1
540,kalgoorlie,perth,Jan-85,4600,220,51.9,538,2474800,4768401,8863,1985,1
541,karratha,perth,Jan-85,9477,222,65.0,1250,11846250,18225000,14580,1985,1
542,launceston,melbourne,Jan-85,44404,602,76.2,476,21136304,27737932,58273,1985,1
543,melbourne,burnie,Jan-85,9753,289,76.4,378,3686634,4825437,12766,1985,1
544,melbourne,gold coast,Jan-85,21651,165,88.1,1330,28795830,32685392,24575,1985,1
545,melbourne,mildura,Jan-85,2682,275,37.2,457,1225674,3294823,7210,1985,1
546,melbourne,perth,Jan-85,36015,262,84.0,2706,97456590,116019750,42875,1985,1
547,melbourne,sydney,Jan-85,141317,1314,70.4,706,99769802,141718469,200734,1985,1
548,perth,sydney,Jan-85,22510,165,87.4,3284,73922840,84579908,25755,1985,1
549,sunshine coast,sydney,Jan-85,6858,141,79.7,837,5740146,7202191,8605,1985,1
550,sydney,townsville,Jan-85,5151,59,86.5,1690,8705190,10063803,5955,1985,1
551,sydney,wagga wagga,Jan-85,4290,161,51.6,367,1574430,3051221,8314,1985,1
552,adelaide,alice springs,Feb-85,10096,110,69.1,1316,13286336,19227693,14611,1985,2
553,adelaide,brisbane,Feb-85,2045,33,54.5,1622,3316990,6086220,3752,1985,2
554,adelaide,canberra,Feb-85,1110,19,52.9,972,1078920,2039546,2098,1985,2
555,adelaide,darwin,Feb-85,957,10,66.5,2619,2506383,3768997,1439,1985,2
556,adelaide,gold coast,Feb-85,814,18,42.8,1607,1308098,3056304,1902,1985,2
557,adelaide,melbourne,Feb-85,53790,629,70.5,643,34586970,49059532,76298,1985,2
