Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures(%)","OnTime Arrivals(%)","Cancellations(%)"
Ballina-Sydney,Ballina,Sydney,All Airlines,May-20, 16, 16, 0, 14, 15, 2, 1,87.5,93.8,0.0
Brisbane-Cairns,Brisbane,Cairns,All Airlines,May-20, 23, 23, 0, 20, 20, 3, 3,87.0,87.0,0.0
Brisbane-Mackay,Brisbane,Mackay,All Airlines,May-20, 37, 37, 0, 36, 36, 1, 1,97.3,97.3,0.0
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,May-20, 71, 71, 0, 62, 63, 9, 8,87.3,88.7,0.0
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,May-20, 26, 26, 0, 25, 25, 1, 1,96.2,96.2,0.0
Brisbane-Sydney,Brisbane,Sydney,All Airlines,May-20, 83, 83, 0, 74, 76, 9, 7,89.2,91.6,0.0
Brisbane-Townsville,Brisbane,Townsville,All Airlines,May-20, 22, 22, 0, 22, 21, 0, 1,100.0,95.5,0.0
Broome-Perth,Broome,Perth,All Airlines,May-20, 23, 22, 1, 15, 15, 7, 7,68.2,68.2,4.3
Cairns-Brisbane,Cairns,Brisbane,All Airlines,May-20, 23, 23, 0, 17, 20, 6, 3,73.9,87.0,0.0
Cairns-Townsville,Cairns,Townsville,All Airlines,May-20, 35, 35, 0, 34, 35, 1, 0,97.1,100.0,0.0
Canberra-Melbourne,Canberra,Melbourne,All Airlines,May-20, 35, 35, 0, 33, 34, 2, 1,94.3,97.1,0.0
Dubbo-Sydney,Dubbo,Sydney,All Airlines,May-20, 21, 21, 0, 19, 20, 2, 1,90.5,95.2,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,May-20, 17, 17, 0, 15, 15, 2, 2,88.2,88.2,0.0
Karratha-Perth,Karratha,Perth,All Airlines,May-20, 16, 16, 0, 13, 15, 3, 1,81.3,93.8,0.0
Mackay-Brisbane,Mackay,Brisbane,All Airlines,May-20, 37, 37, 0, 36, 37, 1, 0,97.3,100.0,0.0
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,May-20, 44, 44, 0, 42, 42, 2, 2,95.5,95.5,0.0
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,May-20, 71, 71, 0, 65, 65, 6, 6,91.5,91.5,0.0
Melbourne-Canberra,Melbourne,Canberra,All Airlines,May-20, 35, 35, 0, 31, 34, 4, 1,88.6,97.1,0.0
Melbourne-Mildura,Melbourne,Mildura,All Airlines,May-20, 17, 17, 0, 15, 16, 2, 1,88.2,94.1,0.0
Melbourne-Perth,Melbourne,Perth,All Airlines,May-20, 62, 62, 0, 56, 60, 6, 2,90.3,96.8,0.0
Melbourne-Sydney,Melbourne,Sydney,All Airlines,May-20, 85, 85, 0, 76, 75, 9, 10,89.4,88.2,0.0
Mildura-Melbourne,Mildura,Melbourne,All Airlines,May-20, 17, 17, 0, 16, 17, 1, 0,94.1,100.0,0.0
Newman-Perth,Newman,Perth,All Airlines,May-20, 21, 21, 0, 20, 20, 1, 1,95.2,95.2,0.0
Perth-Broome,Perth,Broome,All Airlines,May-20, 23, 22, 1, 21, 22, 1, 0,95.5,100.0,4.3
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,May-20, 17, 17, 0, 15, 15, 2, 2,88.2,88.2,0.0
Perth-Karratha,Perth,Karratha,All Airlines,May-20, 16, 16, 0, 16, 16, 0, 0,100.0,100.0,0.0
Perth-Melbourne,Perth,Melbourne,All Airlines,May-20, 62, 62, 0, 51, 51, 11, 11,82.3,82.3,0.0
Perth-Newman,Perth,Newman,All Airlines,May-20, 21, 21, 0, 21, 21, 0, 0,100.0,100.0,0.0
Perth-Port Hedland,Perth,Port Hedland,All Airlines,May-20, 20, 20, 0, 19, 19, 1, 1,95.0,95.0,0.0
Port Hedland-Perth,Port Hedland,Perth,All Airlines,May-20, 11, 11, 0, 11, 11, 0, 0,100.0,100.0,0.0
Port Lincoln-Adelaide,Port Lincoln,Adelaide,All Airlines,May-20, 19, 19, 0, 18, 18, 1, 1,94.7,94.7,0.0
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,May-20, 27, 27, 0, 23, 25, 4, 2,85.2,92.6,0.0
Sydney-Albury,Sydney,Albury,All Airlines,May-20, 17, 17, 0, 15, 15, 2, 2,88.2,88.2,0.0
Sydney-Ballina,Sydney,Ballina,All Airlines,May-20, 16, 16, 0, 13, 14, 3, 2,81.3,87.5,0.0
Sydney-Brisbane,Sydney,Brisbane,All Airlines,May-20, 84, 84, 0, 78, 80, 6, 4,92.9,95.2,0.0
Sydney-Dubbo,Sydney,Dubbo,All Airlines,May-20, 21, 21, 0, 17, 18, 4, 3,81.0,85.7,0.0
Sydney-Melbourne,Sydney,Melbourne,All Airlines,May-20, 84, 84, 0, 79, 81, 5, 3,94.0,96.4,0.0
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,May-20, 18, 18, 0, 17, 17, 1, 1,94.4,94.4,0.0
Townsville-Brisbane,Townsville,Brisbane,All Airlines,May-20, 22, 22, 0, 20, 21, 2, 1,90.9,95.5,0.0
Townsville-Cairns,Townsville,Cairns,All Airlines,May-20, 36, 36, 0, 34, 34, 2, 2,94.4,94.4,0.0
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,May-20, 19, 19, 0, 15, 17, 4, 2,78.9,89.5,0.0
All Ports-All Ports,All Ports,All Ports,All Airlines,May-20,3 477,3 449, 28,3 181,3 197, 268, 252,92.2,92.7,0.8
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,Jun-20, 30, 30, 0, 23, 25, 7, 5,76.7,83.3,0.0
Ballina-Sydney,Ballina,Sydney,Jetstar,Jun-20, 16, 15, 1, 14, 15, 1, 0,93.3,100.0,6.3
Brisbane-Cairns,Brisbane,Cairns,Jetstar,Jun-20, 21, 21, 0, 20, 20, 1, 1,95.2,95.2,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,Jun-20, 19, 19, 0, 11, 13, 8, 6,57.9,68.4,0.0
Brisbane-Sydney,Brisbane,Sydney,Jetstar,Jun-20, 36, 36, 0, 31, 34, 5, 2,86.1,94.4,0.0
Brisbane-Townsville,Brisbane,Townsville,Jetstar,Jun-20, 20, 20, 0, 18, 19, 2, 1,90.0,95.0,0.0
Cairns-Brisbane,Cairns,Brisbane,Jetstar,Jun-20, 21, 21, 0, 16, 17, 5, 4,76.2,81.0,0.0
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,Jun-20, 4, 4, 0, 4, 4, 0, 0,100.0,100.0,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,Jun-20, 31, 31, 0, 29, 30, 2, 1,93.5,96.8,0.0
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,Jun-20, 19, 19, 0, 16, 16, 3, 3,84.2,84.2,0.0
Melbourne-Sydney,Melbourne,Sydney,Jetstar,Jun-20, 93, 92, 1, 82, 91, 10, 1,89.1,98.9,1.1
Sydney-Ballina,Sydney,Ballina,Jetstar,Jun-20, 16, 15, 1, 15, 15, 0, 0,100.0,100.0,6.3
Sydney-Brisbane,Sydney,Brisbane,Jetstar,Jun-20, 36, 36, 0, 32, 33, 4, 3,88.9,91.7,0.0
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,Jun-20, 4, 4, 0, 4, 4, 0, 0,100.0,100.0,0.0
Sydney-Melbourne,Sydney,Melbourne,Jetstar,Jun-20, 94, 94, 0, 87, 93, 7, 1,92.6,98.9,0.0
Townsville-Brisbane,Townsville,Brisbane,Jetstar,Jun-20, 20, 20, 0, 17, 19, 3, 1,85.0,95.0,0.0
All Ports-All Ports,All Ports,All Ports,Jetstar,Jun-20, 645, 642, 3, 559, 595, 83, 47,87.1,92.7,0.5
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,Jun-20, 4, 2, 2, 2, 2, 0, 0,100.0,100.0,50.0
Brisbane-Cairns,Brisbane,Cairns,Qantas,Jun-20, 18, 18, 0, 13, 16, 5, 2,72.2,88.9,0.0
Brisbane-Mackay,Brisbane,Mackay,Qantas,Jun-20, 7, 7, 0, 6, 6, 1, 1,85.7,85.7,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,Jun-20, 43, 40, 3, 35, 35, 5, 5,87.5,87.5,7.0
Brisbane-Sydney,Brisbane,Sydney,Qantas,Jun-20, 63, 62, 1, 44, 54, 18, 8,71.0,87.1,1.6
Brisbane-Townsville,Brisbane,Townsville,Qantas,Jun-20, 14, 13, 1, 13, 13, 0, 0,100.0,100.0,7.1
Broome-Perth,Broome,Perth,Qantas,Jun-20, 6, 6, 0, 2, 3, 4, 3,33.3,50.0,0.0
Cairns-Brisbane,Cairns,Brisbane,Qantas,Jun-20, 18, 17, 1, 15, 14, 2, 3,88.2,82.4,5.6
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,Jun-20, 1, 1, 0, 0, 1, 1, 0,0.0,100.0,0.0
Karratha-Perth,Karratha,Perth,Qantas,Jun-20, 2, 2, 0, 0, 0, 2, 2,0.0,0.0,0.0
Mackay-Brisbane,Mackay,Brisbane,Qantas,Jun-20, 7, 7, 0, 4, 5, 3, 2,57.1,71.4,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,Jun-20, 4, 2, 2, 1, 2, 1, 0,50.0,100.0,50.0
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,Jun-20, 43, 40, 3, 27, 34, 13, 6,67.5,85.0,7.0
Melbourne-Perth,Melbourne,Perth,Qantas,Jun-20, 31, 31, 0, 25, 26, 6, 5,80.6,83.9,0.0
Melbourne-Sydney,Melbourne,Sydney,Qantas,Jun-20, 119, 112, 7, 105, 110, 7, 2,93.8,98.2,5.9
Perth-Broome,Perth,Broome,Qantas,Jun-20, 6, 6, 0, 5, 6, 1, 0,83.3,100.0,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,Jun-20, 1, 1, 0, 1, 1, 0, 0,100.0,100.0,0.0
Perth-Karratha,Perth,Karratha,Qantas,Jun-20, 2, 2, 0, 2, 2, 0, 0,100.0,100.0,0.0
Perth-Melbourne,Perth,Melbourne,Qantas,Jun-20, 30, 30, 0, 20, 24, 10, 6,66.7,80.0,0.0
Perth-Port Hedland,Perth,Port Hedland,Qantas,Jun-20, 4, 3, 1, 3, 3, 0, 0,100.0,100.0,25.0
Perth-Sydney,Perth,Sydney,Qantas,Jun-20, 33, 30, 3, 24, 28, 6, 2,80.0,93.3,9.1
Port Hedland-Perth,Port Hedland,Perth,Qantas,Jun-20, 4, 3, 1, 0, 2, 3, 1,0.0,66.7,25.0
Sydney-Brisbane,Sydney,Brisbane,Qantas,Jun-20, 61, 60, 1, 54, 56, 6, 4,90.0,93.3,1.6
Sydney-Melbourne,Sydney,Melbourne,Qantas,Jun-20, 120, 114, 6, 109, 111, 5, 3,95.6,97.4,5.0
Sydney-Perth,Sydney,Perth,Qantas,Jun-20, 33, 30, 3, 23, 25, 7, 5,76.7,83.3,9.1
Townsville-Brisbane,Townsville,Brisbane,Qantas,Jun-20, 14, 13, 1, 11, 12, 2, 1,84.6,92.3,7.1
All Ports-All Ports,All Ports,All Ports,Qantas,Jun-20, 805, 767, 38, 623, 674, 144, 93,81.2,87.9,4.7
Adelaide-Port Lincoln,Adelaide,Port Lincoln,QantasLink,Jun-20, 16, 16, 0, 12, 11, 4, 5,75.0,68.8,0.0
Albury-Sydney,Albury,Sydney,QantasLink,Jun-20, 15, 14, 1, 11, 11, 3, 3,78.6,78.6,6.7
Brisbane-Bundaberg,Brisbane,Bundaberg,QantasLink,Jun-20, 5, 5, 0, 5, 5, 0, 0,100.0,100.0,0.0
Brisbane-Canberra,Brisbane,Canberra,QantasLink,Jun-20, 31, 31, 0, 26, 28, 5, 3,83.9,90.3,0.0
Brisbane-Gladstone,Brisbane,Gladstone,QantasLink,Jun-20, 15, 14, 1, 12, 14, 2, 0,85.7,100.0,6.7
Brisbane-Mackay,Brisbane,Mackay,QantasLink,Jun-20, 35, 35, 0, 35, 35, 0, 0,100.0,100.0,0.0
Brisbane-Rockhampton,Brisbane,Rockhampton,QantasLink,Jun-20, 34, 34, 0, 30, 32, 4, 2,88.2,94.1,0.0
Broome-Perth,Broome,Perth,QantasLink,Jun-20, 16, 16, 0, 9, 13, 7, 3,56.3,81.3,0.0
Bundaberg-Brisbane,Bundaberg,Brisbane,QantasLink,Jun-20, 5, 5, 0, 5, 5, 0, 0,100.0,100.0,0.0
Cairns-Townsville,Cairns,Townsville,QantasLink,Jun-20, 30, 30, 0, 30, 30, 0, 0,100.0,100.0,0.0
Canberra-Brisbane,Canberra,Brisbane,QantasLink,Jun-20, 31, 31, 0, 26, 26, 5, 5,83.9,83.9,0.0
Canberra-Melbourne,Canberra,Melbourne,QantasLink,Jun-20, 49, 45, 4, 38, 42, 7, 3,84.4,93.3,8.2
Dubbo-Sydney,Dubbo,Sydney,QantasLink,Jun-20, 14, 14, 0, 13, 14, 1, 0,92.9,100.0,0.0
Gladstone-Brisbane,Gladstone,Brisbane,QantasLink,Jun-20, 15, 14, 1, 12, 13, 2, 1,85.7,92.9,6.7
Kalgoorlie-Perth,Kalgoorlie,Perth,QantasLink,Jun-20, 18, 17, 1, 17, 17, 0, 0,100.0,100.0,5.6
Karratha-Perth,Karratha,Perth,QantasLink,Jun-20, 21, 21, 0, 16, 17, 5, 4,76.2,81.0,0.0
Mackay-Brisbane,Mackay,Brisbane,QantasLink,Jun-20, 36, 36, 0, 29, 34, 7, 2,80.6,94.4,0.0
Melbourne-Canberra,Melbourne,Canberra,QantasLink,Jun-20, 48, 44, 4, 39, 42, 5, 2,88.6,95.5,8.3
Melbourne-Mildura,Melbourne,Mildura,QantasLink,Jun-20, 15, 15, 0, 13, 15, 2, 0,86.7,100.0,0.0
Mildura-Melbourne,Mildura,Melbourne,QantasLink,Jun-20, 15, 15, 0, 15, 15, 0, 0,100.0,100.0,0.0
Newman-Perth,Newman,Perth,QantasLink,Jun-20, 21, 18, 3, 17, 17, 1, 1,94.4,94.4,14.3
Perth-Broome,Perth,Broome,QantasLink,Jun-20, 16, 16, 0, 13, 15, 3, 1,81.3,93.8,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,QantasLink,Jun-20, 18, 17, 1, 16, 17, 1, 0,94.1,100.0,5.6
Perth-Karratha,Perth,Karratha,QantasLink,Jun-20, 21, 21, 0, 19, 19, 2, 2,90.5,90.5,0.0
Perth-Newman,Perth,Newman,QantasLink,Jun-20, 21, 18, 3, 17, 17, 1, 1,94.4,94.4,14.3
Perth-Port Hedland,Perth,Port Hedland,QantasLink,Jun-20, 19, 19, 0, 17, 17, 2, 2,89.5,89.5,0.0
Port Hedland-Perth,Port Hedland,Perth,QantasLink,Jun-20, 11, 11, 0, 7, 9, 4, 2,63.6,81.8,0.0
Port Lincoln-Adelaide,Port Lincoln,Adelaide,QantasLink,Jun-20, 16, 16, 0, 11, 12, 5, 4,68.8,75.0,0.0
Rockhampton-Brisbane,Rockhampton,Brisbane,QantasLink,Jun-20, 32, 32, 0, 31, 30, 1, 2,96.9,93.8,0.0
Sydney-Albury,Sydney,Albury,QantasLink,Jun-20, 14, 13, 1, 11, 11, 2, 2,84.6,84.6,7.1
Sydney-Dubbo,Sydney,Dubbo,QantasLink,Jun-20, 14, 14, 0, 13, 13, 1, 1,92.9,92.9,0.0
Sydney-Wagga Wagga,Sydney,Wagga Wagga,QantasLink,Jun-20, 14, 13, 1, 11, 12, 2, 1,84.6,92.3,7.1
Townsville-Cairns,Townsville,Cairns,QantasLink,Jun-20, 30, 30, 0, 29, 29, 1, 1,96.7,96.7,0.0
Wagga Wagga-Sydney,Wagga Wagga,Sydney,QantasLink,Jun-20, 14, 13, 1, 12, 12, 1, 1,92.3,92.3,7.1
All Ports-All Ports,All Ports,All Ports,QantasLink,Jun-20,1 483,1 420, 63,1 254,1 310, 166, 110,88.3,92.3,4.2
Adelaide-Port Lincoln,Adelaide,Port Lincoln,Regional Express,Jun-20, 25, 25, 0, 22, 19, 3, 6,88.0,76.0,0.0
Albury-Sydney,Albury,Sydney,Regional Express,Jun-20, 9, 9, 0, 8, 8, 1, 1,88.9,88.9,0.0
Ballina-Sydney,Ballina,Sydney,Regional Express,Jun-20, 16, 16, 0, 14, 14, 2, 2,87.5,87.5,0.0
Cairns-Townsville,Cairns,Townsville,Regional Express,Jun-20, 9, 9, 0, 8, 8, 1, 1,88.9,88.9,0.0
Dubbo-Sydney,Dubbo,Sydney,Regional Express,Jun-20, 15, 15, 0, 10, 12, 5, 3,66.7,80.0,0.0
Melbourne-Mildura,Melbourne,Mildura,Regional Express,Jun-20, 9, 9, 0, 7, 5, 2, 4,77.8,55.6,0.0
Mildura-Melbourne,Mildura,Melbourne,Regional Express,Jun-20, 9, 9, 0, 4, 4, 5, 5,44.4,44.4,0.0
Port Lincoln-Adelaide,Port Lincoln,Adelaide,Regional Express,Jun-20, 25, 25, 0, 16, 16, 9, 9,64.0,64.0,0.0
Sydney-Albury,Sydney,Albury,Regional Express,Jun-20, 9, 9, 0, 8, 8, 1, 1,88.9,88.9,0.0
Sydney-Ballina,Sydney,Ballina,Regional Express,Jun-20, 16, 16, 0, 14, 15, 2, 1,87.5,93.8,0.0
Sydney-Dubbo,Sydney,Dubbo,Regional Express,Jun-20, 15, 15, 0, 9, 11, 6, 4,60.0,73.3,0.0
Sydney-Wagga Wagga,Sydney,Wagga Wagga,Regional Express,Jun-20, 10, 10, 0, 8, 9, 2, 1,80.0,90.0,0.0
Townsville-Cairns,Townsville,Cairns,Regional Express,Jun-20, 9, 9, 0, 8, 7, 1, 2,88.9,77.8,0.0
Wagga Wagga-Sydney,Wagga Wagga,Sydney,Regional Express,Jun-20, 10, 10, 0, 9, 9, 1, 1,90.0,90.0,0.0
All Ports-All Ports,All Ports,All Ports,Regional Express,Jun-20,1 353,1 350, 3,1 161,1 149, 189, 201,86.0,85.1,0.2
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,Jun-20, 13, 13, 0, 12, 12, 1, 1,92.3,92.3,0.0
Brisbane-Bundaberg,Brisbane,Bundaberg,Virgin Australia,Jun-20, 24, 24, 0, 22, 22, 2, 2,91.7,91.7,0.0
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,Jun-20, 26, 26, 0, 18, 23, 8, 3,69.2,88.5,0.0
Brisbane-Canberra,Brisbane,Canberra,Virgin Australia,Jun-20, 8, 8, 0, 6, 6, 2, 2,75.0,75.0,0.0
Brisbane-Gladstone,Brisbane,Gladstone,Virgin Australia,Jun-20, 2, 2, 0, 1, 1, 1, 1,50.0,50.0,0.0
Brisbane-Mackay,Brisbane,Mackay,Virgin Australia,Jun-20, 29, 29, 0, 27, 26, 2, 3,93.1,89.7,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,Jun-20, 62, 60, 2, 47, 53, 13, 7,78.3,88.3,3.2
Brisbane-Rockhampton,Brisbane,Rockhampton,Virgin Australia,Jun-20, 24, 24, 0, 22, 22, 2, 2,91.7,91.7,0.0
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,Jun-20, 45, 41, 4, 33, 37, 8, 4,80.5,90.2,8.9
Brisbane-Townsville,Brisbane,Townsville,Virgin Australia,Jun-20, 24, 24, 0, 22, 22, 2, 2,91.7,91.7,0.0
Broome-Perth,Broome,Perth,Virgin Australia,Jun-20, 4, 4, 0, 2, 4, 2, 0,50.0,100.0,0.0
Bundaberg-Brisbane,Bundaberg,Brisbane,Virgin Australia,Jun-20, 2, 2, 0, 1, 1, 1, 1,50.0,50.0,0.0
Cairns-Brisbane,Cairns,Brisbane,Virgin Australia,Jun-20, 26, 26, 0, 20, 21, 6, 5,76.9,80.8,0.0
Canberra-Brisbane,Canberra,Brisbane,Virgin Australia,Jun-20, 8, 8, 0, 7, 8, 1, 0,87.5,100.0,0.0
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,Jun-20, 14, 14, 0, 14, 14, 0, 0,100.0,100.0,0.0
Gladstone-Brisbane,Gladstone,Brisbane,Virgin Australia,Jun-20, 24, 24, 0, 18, 19, 6, 5,75.0,79.2,0.0
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,Jun-20, 18, 18, 0, 14, 17, 4, 1,77.8,94.4,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia,Jun-20, 5, 5, 0, 4, 4, 1, 1,80.0,80.0,0.0
Karratha-Perth,Karratha,Perth,Virgin Australia,Jun-20, 11, 11, 0, 6, 7, 5, 4,54.5,63.6,0.0
Mackay-Brisbane,Mackay,Brisbane,Virgin Australia,Jun-20, 29, 29, 0, 24, 28, 5, 1,82.8,96.6,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,Jun-20, 13, 13, 0, 13, 13, 0, 0,100.0,100.0,0.0
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,Jun-20, 62, 60, 2, 57, 59, 3, 1,95.0,98.3,3.2
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia,Jun-20, 14, 14, 0, 14, 14, 0, 0,100.0,100.0,0.0
Melbourne-Perth,Melbourne,Perth,Virgin Australia,Jun-20, 30, 30, 0, 29, 30, 1, 0,96.7,100.0,0.0
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,Jun-20, 45, 40, 5, 35, 37, 5, 3,87.5,92.5,11.1
Newman-Perth,Newman,Perth,Virgin Australia,Jun-20, 8, 8, 0, 8, 8, 0, 0,100.0,100.0,0.0
Perth-Broome,Perth,Broome,Virgin Australia,Jun-20, 4, 4, 0, 3, 4, 1, 0,75.0,100.0,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia,Jun-20, 5, 5, 0, 5, 5, 0, 0,100.0,100.0,0.0
Perth-Karratha,Perth,Karratha,Virgin Australia,Jun-20, 11, 11, 0, 11, 11, 0, 0,100.0,100.0,0.0
Perth-Melbourne,Perth,Melbourne,Virgin Australia,Jun-20, 30, 30, 0, 25, 26, 5, 4,83.3,86.7,0.0
Perth-Newman,Perth,Newman,Virgin Australia,Jun-20, 8, 8, 0, 8, 8, 0, 0,100.0,100.0,0.0
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia,Jun-20, 9, 9, 0, 9, 9, 0, 0,100.0,100.0,0.0
Perth-Sydney,Perth,Sydney,Virgin Australia,Jun-20, 17, 17, 0, 16, 17, 1, 0,94.1,100.0,0.0
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia,Jun-20, 9, 9, 0, 5, 5, 4, 4,55.6,55.6,0.0
Rockhampton-Brisbane,Rockhampton,Brisbane,Virgin Australia,Jun-20, 24, 24, 0, 19, 22, 5, 2,79.2,91.7,0.0
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,Jun-20, 47, 43, 4, 42, 42, 1, 1,97.7,97.7,8.5
Sydney-Gold Coast,Sydney,Gold Coast,Virgin Australia,Jun-20, 18, 18, 0, 16, 16, 2, 2,88.9,88.9,0.0
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,Jun-20, 46, 40, 6, 39, 39, 1, 1,97.5,97.5,13.0
Sydney-Perth,Sydney,Perth,Virgin Australia,Jun-20, 17, 17, 0, 16, 14, 1, 3,94.1,82.4,0.0
Townsville-Brisbane,Townsville,Brisbane,Virgin Australia,Jun-20, 24, 24, 0, 17, 20, 7, 4,70.8,83.3,0.0
All Ports-All Ports,All Ports,All Ports,Virgin Australia,Jun-20, 941, 918, 23, 789, 830, 129, 88,85.9,90.4,2.4
Broome-Perth,Broome,Perth,Virgin Australia Regional Airlines,Jun-20, 9, 9, 0, 7, 7, 2, 2,77.8,77.8,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia Regional Airlines,Jun-20, 4, 4, 0, 4, 4, 0, 0,100.0,100.0,0.0
Perth-Broome,Perth,Broome,Virgin Australia Regional Airlines,Jun-20, 9, 9, 0, 8, 8, 1, 1,88.9,88.9,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia Regional Airlines,Jun-20, 4, 4, 0, 4, 4, 0, 0,100.0,100.0,0.0
All Ports-All Ports,All Ports,All Ports,Virgin Australia Regional Airlines,Jun-20, 94, 92, 2, 76, 73, 16, 19,82.6,79.3,2.1
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Jun-20, 47, 45, 2, 37, 39, 8, 6,82.2,86.7,4.3
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,Jun-20, 41, 41, 0, 34, 30, 7, 11,82.9,73.2,0.0
Albury-Sydney,Albury,Sydney,All Airlines,Jun-20, 24, 23, 1, 19, 19, 4, 4,82.6,82.6,4.2
Ballina-Sydney,Ballina,Sydney,All Airlines,Jun-20, 32, 31, 1, 28, 29, 3, 2,90.3,93.5,3.1
Brisbane-Bundaberg,Brisbane,Bundaberg,All Airlines,Jun-20, 29, 29, 0, 27, 27, 2, 2,93.1,93.1,0.0
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Jun-20, 65, 65, 0, 51, 59, 14, 6,78.5,90.8,0.0
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Jun-20, 39, 39, 0, 32, 34, 7, 5,82.1,87.2,0.0
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Jun-20, 17, 16, 1, 13, 15, 3, 1,81.3,93.8,5.9
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Jun-20, 71, 71, 0, 68, 67, 3, 4,95.8,94.4,0.0
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Jun-20, 124, 119, 5, 93, 101, 26, 18,78.2,84.9,4.0
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Jun-20, 58, 58, 0, 52, 54, 6, 4,89.7,93.1,0.0
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Jun-20, 144, 139, 5, 108, 125, 31, 14,77.7,89.9,3.5
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Jun-20, 58, 57, 1, 53, 54, 4, 3,93.0,94.7,1.7
Broome-Perth,Broome,Perth,All Airlines,Jun-20, 35, 35, 0, 20, 27, 15, 8,57.1,77.1,0.0
Bundaberg-Brisbane,Bundaberg,Brisbane,All Airlines,Jun-20, 7, 7, 0, 6, 6, 1, 1,85.7,85.7,0.0
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Jun-20, 65, 64, 1, 51, 52, 13, 12,79.7,81.3,1.5
Cairns-Townsville,Cairns,Townsville,All Airlines,Jun-20, 39, 39, 0, 38, 38, 1, 1,97.4,97.4,0.0
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Jun-20, 39, 39, 0, 33, 34, 6, 5,84.6,87.2,0.0
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Jun-20, 63, 59, 4, 52, 56, 7, 3,88.1,94.9,6.3
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Jun-20, 29, 29, 0, 23, 26, 6, 3,79.3,89.7,0.0
Gladstone-Brisbane,Gladstone,Brisbane,All Airlines,Jun-20, 39, 38, 1, 30, 32, 8, 6,78.9,84.2,2.6
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Jun-20, 22, 22, 0, 18, 21, 4, 1,81.8,95.5,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Jun-20, 28, 27, 1, 25, 26, 2, 1,92.6,96.3,3.6
Karratha-Perth,Karratha,Perth,All Airlines,Jun-20, 34, 34, 0, 22, 24, 12, 10,64.7,70.6,0.0
